Coin X, Coin Y,Volume Coin X,Volume Coin Y,Updated,Spread,Strategy,normalised spread (ZSCORE),Rolling ZScore,Profile (Clustering Analysis),X | Y (Conditional Likelihood),Y | X (Conditional Likelihood),Copula-based Correlation,Cointegration Jn (Johansen Test),Cointegration EG (Engle-Granger Test),Hurst Exponent,Half Life,0sigma,2sigma,Coin X Annualized Volatility,Coin Y Annualized Volatility,VaR (Value at Risk @ 99%),CVaR (Conditional Value at Risk @ 99%),MDD (Maximum Drawdown),Net Return (Net Backtest Return),Sharpe (Sharpe Ratio)
AVAXUSDT,IOTAUSDT,2.0M,131.3K,2025-Feb-11 00:07:01 UTC,Not applicable,Copula,0.17,0.86,true,3.1%,95.3%,81.9%,false,true,0.57,6.5,37,2,94.0%,107.6%,-2.3%,-7.4%,-10.4%,54.4%,1.43
AGLDUSDT,FXSUSDT,830.4K,141.8K,2025-Feb-11 00:18:54 UTC,Not applicable,Copula,-1.19,-1.01,false,97.3%,0.1%,35.7%,false,false,1.06,9.5,23,7,129.3%,118.1%,-7.8%,-15.9%,-26.6%,53.4%,0.88
LTCUSDT,QNTUSDT,9.2M,134.0K,2025-Feb-11 00:13:13 UTC,Not applicable,Copula,-2.18,-2.10,true,99.5%,2.1%,76.7%,false,false,1.31,9.3,25,6,106.8%,85.9%,-7.1%,-10.7%,-15.8%,49.3%,1.04
BELUSDT,LINAUSDT,162.5K,81.8K,2025-Feb-12 00:05:01 UTC,Ornstein-Uhlenbeck,Rolling Z-Score,3.15,-0.23,true,99.8%,0.1%,51.6%,false,false,1.04,0.0,5,3,112.7%,113.9%,-7.8%,-17.0%,-44.4%,48.0%,0.75
SOLUSDC,SPELLUSDT,528.2K,274.3K,2025-Feb-11 00:16:17 UTC,Not applicable,Copula,-0.39,0.49,false,74.2%,65.5%,40.0%,false,true,0.46,0.9,91,9,83.2%,123.9%,-6.5%,-9.6%,-17.6%,47.1%,1.14
SOLUSDT,SPELLUSDT,17.6M,282.0K,2025-Feb-12 00:16:44 UTC,Not applicable,Copula,-0.57,0.22,false,75.1%,57.7%,39.8%,false,true,0.51,0.8,91,9,83.1%,122.3%,-6.5%,-9.6%,-17.8%,46.9%,1.14
CRVUSDT,UNIUSDT,585.5K,2.1M,2025-Feb-12 00:09:38 UTC,Dynamic - Kalman Filter,Spread,-0.68,0.10,true,73.9%,36.8%,63.7%,false,false,0.98,9.3,40,5,119.3%,110.6%,-4.1%,-6.3%,-22.7%,46.7%,1.44
DEFIUSDT,DOGEUSDC,12.1K,387.5K,2025-Feb-12 00:13:52 UTC,Not applicable,Copula,-0.11,0.18,false,11.4%,91.7%,70.8%,false,true,0.50,0.7,164,9,82.1%,99.4%,-8.4%,-19.0%,-23.8%,46.0%,0.69
INJUSDT,IOSTUSDT,883.6K,55.0K,2025-Feb-11 00:14:54 UTC,Not applicable,Copula,0.14,0.11,false,0.5%,96.6%,88.4%,false,true,0.92,5.4,54,6,107.5%,91.6%,-3.4%,-6.9%,-10.4%,45.0%,1.38
ACHUSDT,ALTUSDT,27.2K,4.8K,2025-Feb-11 00:00:43 UTC,Ornstein-Uhlenbeck,Rolling Z-Score,2.12,-1.19,true,94.0%,0.1%,73.2%,false,false,1.08,0.0,1,1,124.7%,122.1%,-15.2%,-18.1%,-28.3%,44.9%,0.58
CRVUSDT,DASHUSDT,202.9K,16.7K,2025-Feb-12 00:01:46 UTC,Static AutoRegressive Moving Average,Spread,-2.20,0.30,true,93.5%,7.3%,93.1%,true,true,0.79,7.8,74,3,119.3%,89.2%,-4.4%,-8.2%,-13.4%,43.3%,1.17
ENSUSDT,JOEUSDT,489.7K,72.0K,2025-Feb-12 00:17:20 UTC,Dynamic - Kalman Filter,Spread,-0.34,0.96,false,72.7%,1.7%,7.6%,false,true,0.90,8.5,25,4,128.0%,109.4%,-7.3%,-9.9%,-42.1%,43.2%,0.73
DOTUSDT,KSMUSDT,688.6K,18.7K,2025-Feb-12 00:04:21 UTC,Dynamic - Kalman Filter,Spread,0.02,0.61,true,60.5%,31.5%,94.8%,false,false,0.70,9.3,30,6,96.0%,109.5%,-1.5%,-3.2%,-6.4%,42.0%,0.92
EGLDUSDT,INJUSDT,41.7K,267.9K,2025-Feb-12 00:03:51 UTC,Not applicable,Copula,-1.54,-0.66,true,40.0%,18.3%,73.3%,true,true,0.94,9.4,29,6,71.4%,107.5%,-5.6%,-9.3%,-16.2%,41.4%,1.27
FILUSDT,KSMUSDT,1.4M,67.6K,2025-Feb-11 00:12:47 UTC,Static AutoRegressive Moving Average,Spread,0.81,-1.05,true,3.4%,89.2%,74.4%,true,true,0.80,5.4,30,3,99.6%,109.4%,-3.3%,-4.6%,-13.8%,40.5%,1.34
QTUMUSDT,RSRUSDT,3.2M,174.0K,2025-Feb-12 00:10:29 UTC,Not applicable,Copula,-1.62,-0.41,true,42.4%,74.4%,45.3%,false,true,0.77,6.5,32,7,105.4%,149.9%,-11.7%,-14.6%,-34.5%,40.4%,0.55
1000BONKUSDT,1000PEPEUSDT,734.3K,7.9M,2025-Feb-12 00:10:51 UTC,Dynamic - Kalman Filter,Spread,-0.08,-0.04,true,4.1%,91.1%,80.7%,true,false,0.82,8.6,40,7,142.0%,148.2%,-8.2%,-10.5%,-19.3%,40.0%,0.91
LINKUSDT,UNIUSDT,2.3M,2.1M,2025-Feb-12 00:10:03 UTC,Not applicable,Copula,-1.48,1.20,true,81.6%,23.5%,89.0%,true,false,0.91,9.9,36,7,99.7%,110.6%,-4.2%,-7.1%,-9.1%,39.6%,1.12
BNBUSDT,SUPERUSDT,3.0M,50.9K,2025-Feb-11 00:05:52 UTC,Not applicable,Copula,0.13,0.57,true,91.7%,9.0%,37.0%,true,true,0.56,0.4,146,18,60.0%,109.9%,-3.4%,-5.7%,-10.7%,39.4%,1.47
ALGOUSDT,IOTAUSDT,210.6K,59.6K,2025-Feb-12 00:01:33 UTC,Not applicable,Copula,-0.52,1.22,true,90.8%,13.2%,92.6%,false,true,1.24,9.5,41,3,110.5%,106.8%,-5.3%,-8.7%,-25.5%,38.8%,0.86
COMPUSDT,SUSHIUSDT,222.0K,235.2K,2025-Feb-12 00:12:28 UTC,Static AutoRegressive Moving Average,Spread,-0.51,-1.35,true,70.2%,29.7%,91.9%,true,true,0.72,8.5,29,5,107.8%,116.4%,-16.0%,-18.2%,-21.7%,37.8%,0.59
QNTUSDT,ZRXUSDT,139.9K,66.5K,2025-Feb-12 00:16:11 UTC,Not applicable,Copula,0.01,0.72,false,90.7%,4.9%,82.4%,false,true,0.76,1.7,80,6,85.6%,130.5%,-5.3%,-8.1%,-17.0%,37.8%,0.94
EGLDUSDT,INJUSDT,41.7K,267.9K,2025-Feb-12 00:03:51 UTC,Static AutoRegressive Moving Average,Spread,-1.71,-0.75,true,40.0%,18.3%,73.3%,true,true,0.84,8.2,42,9,71.4%,107.5%,-3.3%,-5.3%,-8.6%,35.5%,1.44
BIGTIMEUSDT,SFPUSDT,254.4K,57.4K,2025-Feb-12 00:12:58 UTC,Not applicable,Copula,-1.50,0.43,false,4.0%,12.5%,30.7%,true,true,1.14,6.7,41,7,139.1%,76.0%,-4.6%,-13.1%,-20.1%,35.5%,0.70
MANAUSDT,ONEUSDT,33.6K,31.9K,2025-Feb-12 00:01:36 UTC,Not applicable,Copula,0.86,1.56,true,8.4%,90.0%,96.3%,true,true,1.51,7.4,37,5,87.9%,112.8%,-1.7%,-2.4%,-3.8%,35.1%,1.67
TIAUSDT,TLMUSDT,395.5K,87.3K,2025-Feb-11 00:05:31 UTC,Not applicable,Copula,-0.86,0.91,true,23.8%,32.1%,83.5%,true,true,0.77,7.9,28,7,120.2%,108.6%,-2.1%,-2.7%,-6.0%,34.7%,1.62
ALGOUSDT,IOTAUSDT,210.6K,59.6K,2025-Feb-12 00:01:33 UTC,Dynamic - Kalman Filter,Spread,-0.52,1.22,true,90.8%,13.2%,92.6%,false,true,1.24,9.5,41,3,110.5%,106.8%,-5.6%,-9.9%,-31.5%,34.6%,0.71
INJUSDT,ZILUSDT,605.1K,54.8K,2025-Feb-12 00:12:55 UTC,Not applicable,Copula,0.15,0.53,false,0.2%,98.7%,88.2%,false,true,0.84,6.8,63,7,107.5%,97.9%,-1.9%,-3.6%,-4.3%,34.6%,1.83
APTUSDT,STGUSDT,652.2K,79.0K,2025-Feb-12 00:06:48 UTC,Not applicable,Copula,-0.11,-0.21,true,26.4%,14.2%,56.9%,false,true,0.66,8.1,29,6,99.7%,82.0%,-3.7%,-7.0%,-16.8%,33.8%,0.94
CRVUSDT,DASHUSDT,202.9K,16.7K,2025-Feb-12 00:01:46 UTC,Dynamic - Kalman Filter,Spread,-1.36,1.42,true,93.5%,7.3%,93.1%,true,true,0.93,7.0,47,3,119.3%,89.2%,-4.2%,-7.9%,-13.4%,33.8%,0.91
BELUSDT,IOTXUSDT,325.7K,57.7K,2025-Feb-12 00:09:29 UTC,Ornstein-Uhlenbeck,Spread,4.81,0.76,true,99.0%,0.0%,81.5%,false,false,1.07,0.0,51,2,112.8%,109.0%,-0.7%,-2.7%,-4.3%,33.5%,1.62
ENSUSDT,GRTUSDT,403.2K,373.5K,2025-Feb-11 00:16:00 UTC,Dynamic - Kalman Filter,Spread,-0.30,1.26,false,79.8%,5.0%,20.5%,false,true,0.95,8.2,29,10,127.9%,105.7%,-6.4%,-7.1%,-34.6%,33.1%,0.68
ETHUSDT,JASMYUSDT,75.9M,428.0K,2025-Feb-12 00:19:34 UTC,Not applicable,Copula,-0.14,0.01,false,13.3%,76.8%,40.6%,true,true,0.64,0.4,176,14,64.3%,139.1%,-2.7%,-4.6%,-11.6%,33.1%,1.59
