Coin X, Coin Y,Volume Coin X,Volume Coin Y,Updated,Spread,Strategy,normalised spread (ZSCORE),Rolling ZScore,Profile (Clustering Analysis),X | Y (Conditional Likelihood),Y | X (Conditional Likelihood),Copula-based Correlation,Cointegration Jn (Johansen Test),Cointegration EG (Engle-Granger Test),Hurst Exponent,Half Life,0sigma,2sigma,Coin X Annualized Volatility,Coin Y Annualized Volatility,VaR (Value at Risk @ 99%),CVaR (Conditional Value at Risk @ 99%),MDD (Maximum Drawdown),Net Return (Net Backtest Return),Sharpe (Sharpe Ratio)
FXSUSDT,NKNUSDT,117.5K,66.9K,2025-Feb-12 00:19:29 UTC,Static AutoRegressive Moving Average,Spread,0.18,1.30,false,0.4%,97.0%,92.8%,true,true,0.93,9.6,49,6,116.9%,100.6%,-5.0%,-11.4%,-16.6%,23.9%,0.58
ACHUSDT,SPELLUSDT,1.1M,253.9K,2025-Feb-11 00:14:34 UTC,Static AutoRegressive Moving Average,Spread,0.42,0.67,true,42.0%,69.8%,90.5%,true,true,0.76,4.2,33,4,124.7%,123.9%,-13.3%,-25.2%,-41.5%,23.8%,0.29
ACHUSDT,SPELLUSDT,1.1M,253.9K,2025-Feb-11 00:14:34 UTC,Not applicable,Copula,-0.13,0.74,true,42.0%,69.8%,90.5%,true,true,0.89,4.0,43,8,124.7%,123.9%,-13.3%,-25.2%,-46.0%,23.8%,0.29
DYDXUSDT,FXSUSDT,95.0K,24.3K,2025-Feb-12 00:02:45 UTC,Not applicable,Copula,0.79,-1.43,true,53.5%,21.9%,94.7%,true,false,0.85,9.8,24,8,97.7%,116.9%,-9.5%,-13.1%,-17.3%,23.8%,0.49
APEUSDT,PERPUSDT,113.0K,9.6K,2025-Feb-12 00:02:25 UTC,Dynamic - Kalman Filter,Spread,-1.04,-0.37,true,88.1%,2.2%,75.4%,false,true,1.34,8.1,41,7,112.7%,105.5%,-4.6%,-8.0%,-12.1%,23.1%,0.77
1000RATSUSDT,SFPUSDT,111.2K,40.6K,2025-Feb-11 00:16:15 UTC,Not applicable,Copula,-1.29,1.03,false,5.0%,61.3%,33.0%,true,true,1.20,5.7,43,7,174.0%,76.1%,-6.1%,-11.8%,-18.9%,23.1%,0.53
BLURUSDT,TIAUSDT,40.9K,187.6K,2025-Feb-12 00:01:51 UTC,Not applicable,Copula,0.38,1.21,true,25.2%,25.2%,70.8%,false,true,0.90,4.5,38,8,106.1%,120.0%,-5.5%,-6.7%,-12.5%,22.6%,0.90
IOTXUSDT,ORDIUSDT,95.9K,1.5M,2025-Feb-12 00:15:19 UTC,Static AutoRegressive Moving Average,Spread,-1.11,0.18,false,29.7%,29.7%,90.6%,true,true,0.98,7.8,29,4,109.0%,121.9%,-6.7%,-16.0%,-21.9%,22.5%,0.41
ONTUSDT,STGUSDT,111.5K,99.7K,2025-Feb-12 00:14:35 UTC,Not applicable,Copula,-0.39,-0.26,false,91.0%,1.7%,80.7%,false,true,1.20,7.9,33,5,78.6%,82.0%,-4.0%,-12.9%,-22.7%,22.4%,0.45
BLURUSDT,SEIUSDT,16.6M,49.3M,2025-Feb-12 00:00:05 UTC,Static AutoRegressive Moving Average,Spread,-1.40,-1.08,true,60.7%,20.2%,96.2%,false,false,0.87,9.1,42,6,106.1%,114.6%,-5.3%,-10.2%,-14.0%,22.3%,0.65
AIUSDT,GRTUSDT,59.4K,36.4K,2025-Feb-12 00:01:47 UTC,Static AutoRegressive Moving Average,Spread,0.19,0.70,true,0.3%,97.3%,94.1%,true,true,0.83,8.9,47,7,128.6%,105.6%,-4.1%,-15.7%,-28.9%,22.0%,0.34
CRVUSDT,SUSHIUSDT,162.6K,43.7K,2025-Feb-12 00:01:25 UTC,Not applicable,Copula,-0.86,-0.06,true,83.5%,18.5%,85.3%,false,true,0.95,6.1,29,8,119.3%,116.4%,-2.8%,-11.4%,-15.0%,21.9%,0.54
BADGERUSDT,MTLUSDT,52.6K,107.6K,2025-Feb-11 00:17:08 UTC,Dynamic - Kalman Filter,Spread,-1.32,-0.19,false,96.6%,2.0%,91.2%,true,false,1.26,9.9,27,5,13.5%,91.7%,-8.9%,-21.7%,-31.6%,21.9%,0.26
ARUSDT,FETUSDT,25.5K,82.6K,2025-Feb-12 00:00:53 UTC,Not applicable,Copula,-0.39,0.63,true,13.4%,30.5%,75.8%,false,true,0.99,3.8,42,14,130.5%,125.4%,-3.7%,-6.6%,-10.9%,21.7%,0.77
MTLUSDT,RLCUSDT,100.6K,93.0K,2025-Feb-11 00:15:29 UTC,Static AutoRegressive Moving Average,Spread,-1.47,-0.50,false,98.7%,0.2%,92.0%,true,true,0.83,6.4,46,6,91.7%,107.2%,-2.6%,-15.4%,-23.9%,21.7%,0.42
ARPAUSDT,COMBOUSDT,117.3K,45.5K,2025-Feb-12 00:12:36 UTC,Not applicable,Copula,-1.09,0.99,true,72.5%,5.7%,82.4%,false,true,1.32,7.2,33,9,110.9%,109.1%,-2.6%,-4.1%,-8.1%,21.6%,1.08
COMPUSDT,DASHUSDT,27.6K,7.6K,2025-Feb-12 00:00:37 UTC,Static AutoRegressive Moving Average,Spread,-0.96,-0.51,true,78.2%,24.3%,78.1%,true,true,0.88,4.4,50,4,107.8%,89.2%,-7.4%,-9.5%,-12.6%,21.6%,0.60
ETHUSDC,NKNUSDT,2.7M,40.6K,2025-Feb-11 00:17:05 UTC,Not applicable,Copula,0.03,-0.15,false,61.9%,12.7%,70.3%,false,true,0.63,0.2,158,14,64.4%,101.1%,-3.1%,-4.4%,-19.1%,21.5%,0.91
JTOUSDT,JUPUSDT,271.9K,844.0K,2025-Feb-12 00:12:43 UTC,Not applicable,Copula,-0.51,-1.27,true,56.5%,34.9%,76.5%,false,true,0.79,6.8,34,9,118.3%,119.8%,-5.7%,-22.7%,-27.2%,21.4%,0.31
FILUSDT,FXSUSDT,1.5M,114.9K,2025-Feb-11 00:13:49 UTC,Static AutoRegressive Moving Average,Spread,-0.45,-0.48,true,86.3%,4.2%,94.3%,true,true,0.74,7.8,37,4,99.6%,118.1%,-2.9%,-14.5%,-26.1%,21.2%,0.38
GALAUSDT,GRTUSDT,70.1K,17.0K,2025-Feb-12 00:00:39 UTC,Dynamic - Kalman Filter,Spread,-1.31,0.28,true,98.7%,0.3%,93.1%,false,true,0.82,8.2,45,9,122.4%,105.6%,-4.9%,-5.9%,-11.6%,21.0%,0.72
ATAUSDT,SFPUSDT,77.6K,36.2K,2025-Feb-11 00:14:56 UTC,Not applicable,Copula,-1.03,1.09,false,22.5%,8.1%,26.0%,true,true,0.86,5.0,31,8,151.0%,76.1%,-1.9%,-2.4%,-7.7%,20.9%,1.54
ARBUSDT,INJUSDT,698.0K,1.0M,2025-Feb-11 00:17:01 UTC,Static AutoRegressive Moving Average,Spread,-1.84,-0.44,false,28.5%,40.3%,92.8%,true,true,0.89,7.3,32,6,91.3%,107.5%,-3.6%,-6.3%,-12.2%,20.7%,0.73
C98USDT,SXPUSDT,55.5K,79.6K,2025-Feb-12 00:17:58 UTC,Dynamic - Kalman Filter,Spread,-0.40,-0.59,false,0.8%,94.4%,85.3%,false,false,0.89,9.8,28,4,94.5%,104.1%,-6.8%,-8.6%,-20.3%,20.6%,0.75
WLDUSDT,XAIUSDT,979.8K,84.3K,2025-Feb-12 00:07:12 UTC,Static AutoRegressive Moving Average,Spread,-1.31,0.37,true,37.3%,30.2%,92.9%,true,false,1.04,8.0,27,2,143.1%,121.5%,-2.3%,-11.2%,-18.0%,20.6%,0.50
CRVUSDT,QNTUSDT,537.1K,98.5K,2025-Feb-12 00:07:36 UTC,Not applicable,Copula,0.19,-0.63,true,84.8%,17.3%,88.9%,false,false,1.07,7.8,38,9,119.3%,85.6%,-4.4%,-9.0%,-10.7%,20.5%,0.66
AVAXUSDT,CELOUSDT,2.0M,66.6K,2025-Feb-12 00:08:59 UTC,Not applicable,Copula,0.33,1.00,true,82.7%,5.1%,85.9%,false,true,0.58,4.4,48,12,95.3%,90.9%,-3.4%,-9.5%,-18.6%,20.3%,0.58
JTOUSDT,JUPUSDT,271.9K,844.0K,2025-Feb-12 00:12:43 UTC,Dynamic - Kalman Filter,Spread,-0.51,-1.27,true,56.5%,34.9%,76.5%,false,true,0.79,6.8,34,9,118.3%,119.8%,-6.1%,-7.1%,-15.1%,20.3%,0.66
AVAXUSDT,CRVUSDT,2.2M,586.6K,2025-Feb-12 00:10:04 UTC,Not applicable,Copula,-0.16,1.22,true,2.7%,95.8%,76.1%,false,true,0.45,6.7,50,5,95.3%,119.3%,-2.7%,-4.2%,-8.6%,20.3%,1.04
C98USDT,SXPUSDT,55.5K,79.6K,2025-Feb-12 00:17:58 UTC,Not applicable,Copula,-0.40,-0.59,false,0.8%,94.4%,85.3%,false,false,0.89,9.8,28,4,94.5%,104.1%,-3.0%,-5.7%,-17.1%,20.2%,0.93
LTCUSDT,XRPUSDT,6.4M,8.1M,2025-Feb-12 00:05:42 UTC,Not applicable,Copula,-1.89,-0.16,true,86.3%,49.3%,45.4%,false,true,0.69,1.8,58,17,105.0%,88.9%,-2.0%,-2.9%,-6.2%,20.2%,1.48
AVAXUSDT,C98USDT,4.1M,267.6K,2025-Feb-11 00:17:38 UTC,Not applicable,Copula,0.36,1.37,false,87.6%,1.8%,80.0%,false,true,0.47,4.9,42,7,94.0%,96.2%,-4.2%,-9.8%,-19.4%,20.2%,0.54
LTCUSDT,XRPUSDC,5.9M,365.4K,2025-Feb-12 00:04:49 UTC,Not applicable,Copula,-1.97,-0.20,true,87.5%,47.3%,45.4%,false,true,0.70,1.8,58,17,105.0%,88.6%,-2.0%,-2.9%,-6.2%,20.2%,1.48
ICXUSDT,SKLUSDT,51.3K,96.9K,2025-Feb-12 00:12:56 UTC,Not applicable,Copula,1.46,-1.05,false,4.1%,92.1%,95.0%,false,true,0.81,8.8,32,3,54.3%,109.8%,-5.8%,-8.4%,-18.9%,20.2%,0.68
TIAUSDT,USTCUSDT,318.2K,273.6K,2025-Feb-12 00:04:18 UTC,Dynamic - Kalman Filter,Spread,0.69,1.74,true,1.2%,89.7%,76.6%,false,true,1.31,6.6,31,11,120.0%,110.2%,-7.5%,-11.5%,-21.3%,19.9%,0.48
AVAXUSDT,THETAUSDT,1.2M,104.2K,2025-Feb-12 00:03:57 UTC,Static AutoRegressive Moving Average,Spread,0.18,-0.41,true,12.7%,77.0%,89.3%,true,true,0.78,8.6,25,1,95.3%,111.0%,-1.6%,-14.3%,-28.8%,19.9%,0.33
TIAUSDT,USTCUSDT,318.2K,273.6K,2025-Feb-12 00:04:18 UTC,Not applicable,Copula,0.69,1.74,true,1.2%,89.7%,76.6%,false,true,1.31,6.6,31,11,120.0%,110.2%,-5.5%,-12.0%,-23.4%,19.9%,0.40
GRTUSDT,LPTUSDT,114.2K,57.0K,2025-Feb-12 00:06:00 UTC,Static AutoRegressive Moving Average,Spread,-2.01,-1.08,true,66.1%,4.6%,79.0%,true,false,1.10,8.6,32,7,105.6%,111.3%,-3.7%,-8.4%,-16.0%,19.8%,0.62
DASHUSDT,STORJUSDT,133.5K,1.2M,2025-Feb-11 00:18:04 UTC,Not applicable,Copula,0.14,2.07,false,85.3%,4.5%,68.7%,false,true,0.63,4.5,40,5,90.5%,102.3%,-0.8%,-1.5%,-3.2%,19.8%,2.00
AUCTIONUSDT,BLURUSDT,74.6K,168.9K,2025-Feb-12 00:17:04 UTC,Not applicable,Copula,-0.07,-0.32,false,17.7%,21.3%,60.7%,false,true,1.06,8.3,29,11,119.2%,106.1%,-6.0%,-11.9%,-17.9%,19.6%,0.42
FILUSDT,FXSUSDT,1.5M,114.9K,2025-Feb-11 00:13:49 UTC,Not applicable,Copula,0.30,-0.70,true,86.3%,4.2%,94.3%,true,true,0.80,10.0,36,6,99.6%,118.1%,-4.8%,-8.6%,-10.9%,19.4%,0.64
APTUSDT,USTCUSDT,485.9K,273.9K,2025-Feb-12 00:04:17 UTC,Dynamic - Kalman Filter,Spread,1.53,1.92,true,5.4%,81.2%,81.4%,true,true,0.98,7.1,32,5,99.7%,110.2%,-4.4%,-5.7%,-15.4%,19.3%,0.76
DYMUSDT,STMXUSDT,373.7K,53.3K,2025-Feb-12 00:14:28 UTC,Not applicable,Copula,-0.65,0.35,false,5.6%,57.5%,76.9%,true,true,0.83,7.6,34,5,124.7%,111.9%,-3.5%,-14.4%,-20.7%,19.3%,0.40
MTLUSDT,RLCUSDT,100.6K,93.0K,2025-Feb-11 00:15:29 UTC,Dynamic - Kalman Filter,Spread,-1.31,-0.41,false,98.7%,0.2%,92.0%,true,true,1.01,6.4,53,5,91.7%,107.2%,-1.7%,-6.6%,-11.3%,19.3%,0.84
AXSUSDT,KSMUSDT,283.0K,63.8K,2025-Feb-12 00:16:24 UTC,Not applicable,Copula,1.42,-0.51,false,0.9%,94.4%,72.4%,false,true,0.77,5.8,25,4,81.8%,109.5%,-1.8%,-4.9%,-11.4%,19.3%,0.69
COMPUSDT,UNIUSDT,167.1K,1.9M,2025-Feb-12 00:06:02 UTC,Static AutoRegressive Moving Average,Spread,0.42,-0.91,true,48.5%,59.4%,67.9%,false,true,0.98,8.5,35,6,107.8%,110.6%,-4.0%,-13.3%,-18.2%,19.1%,0.44
BNBUSDT,POLYXUSDT,13.4M,66.4K,2025-Feb-12 00:17:08 UTC,Not applicable,Copula,-0.10,-0.10,false,99.1%,0.1%,35.0%,false,true,0.51,0.5,145,13,60.1%,119.0%,-3.3%,-4.6%,-12.8%,19.1%,0.90
ARPAUSDT,SKLUSDT,34.3K,19.3K,2025-Feb-12 00:02:42 UTC,Dynamic - Kalman Filter,Spread,0.81,-0.97,true,13.7%,70.3%,69.5%,false,true,1.13,9.6,20,4,110.9%,114.3%,-4.2%,-5.3%,-14.6%,18.8%,0.82
WLDUSDT,XVSUSDT,1.5M,183.7K,2025-Feb-12 00:14:08 UTC,Not applicable,Copula,-0.10,1.10,false,0.8%,92.8%,84.0%,false,true,0.78,9.7,28,6,143.1%,99.7%,-4.7%,-11.9%,-19.5%,18.8%,0.44
CRVUSDT,LQTYUSDT,201.9K,11.8K,2025-Feb-12 00:01:28 UTC,Dynamic - Kalman Filter,Spread,-1.12,-0.22,true,87.3%,17.4%,73.5%,true,true,0.99,3.8,31,8,119.3%,133.9%,-7.0%,-29.5%,-41.0%,18.8%,0.18
EGLDUSDT,TUSDT,203.5K,186.3K,2025-Feb-11 00:16:13 UTC,Not applicable,Copula,0.07,-0.41,false,3.8%,75.2%,77.6%,false,true,0.93,2.8,63,6,70.5%,105.1%,-3.3%,-12.8%,-24.7%,18.7%,0.35
FILUSDT,SFPUSDT,1.4M,35.0K,2025-Feb-11 00:12:33 UTC,Not applicable,Copula,-0.98,0.34,true,22.7%,16.0%,22.1%,false,true,1.04,7.1,43,9,99.6%,76.1%,-3.9%,-10.5%,-19.3%,18.5%,0.45
CRVUSDT,YFIUSDT,202.9K,9.7K,2025-Feb-12 00:01:44 UTC,Not applicable,Copula,-1.45,-0.67,true,96.9%,3.0%,89.6%,false,true,1.23,6.7,33,8,119.3%,81.0%,-5.0%,-9.4%,-13.5%,18.5%,0.57
CRVUSDT,DASHUSDT,202.9K,16.7K,2025-Feb-12 00:01:46 UTC,Not applicable,Copula,-1.36,1.42,true,93.5%,7.3%,93.1%,true,true,0.93,7.0,47,3,119.3%,89.2%,-9.6%,-10.2%,-15.4%,18.4%,0.50
BTCUSDC,ZRXUSDT,3.6M,67.1K,2025-Feb-12 00:16:49 UTC,Not applicable,Copula,0.10,0.15,false,93.3%,3.6%,32.5%,false,true,0.73,0.3,158,10,53.2%,130.5%,-0.7%,-1.7%,-5.0%,18.3%,1.40
APTUSDT,LUNA2USDT,619.1K,153.4K,2025-Feb-12 00:06:32 UTC,Not applicable,Copula,0.29,1.24,true,47.7%,10.3%,74.8%,false,true,0.63,5.0,44,8,99.7%,90.0%,-4.1%,-8.3%,-27.4%,18.2%,0.52
AVAXUSDT,HOTUSDT,2.6M,51.8K,2025-Feb-12 00:14:14 UTC,Not applicable,Copula,0.70,1.31,false,17.0%,74.0%,93.8%,true,true,0.53,3.2,58,9,95.3%,107.1%,-6.9%,-11.2%,-17.0%,18.2%,0.49
FILUSDT,TLMUSDT,1.5M,124.3K,2025-Feb-11 00:13:52 UTC,Dynamic - Kalman Filter,Spread,-0.89,1.29,true,63.8%,10.3%,76.9%,false,true,0.88,7.8,25,10,99.6%,108.6%,-4.5%,-7.4%,-10.8%,18.1%,0.67
HIFIUSDT,NEOUSDT,69.7K,235.6K,2025-Feb-12 00:16:04 UTC,Not applicable,Copula,-0.16,-0.73,false,2.8%,90.2%,82.8%,false,false,0.97,9.9,10,5,108.2%,104.6%,-4.6%,-8.4%,-20.7%,18.0%,0.47
ILVUSDT,RIFUSDT,87.2K,41.9K,2025-Feb-12 00:16:02 UTC,Not applicable,Copula,-0.31,1.29,false,10.6%,28.4%,67.3%,false,true,0.75,1.9,62,11,100.4%,109.0%,-5.8%,-10.3%,-16.3%,18.0%,0.44
FXSUSDT,SFPUSDT,111.7K,66.5K,2025-Feb-12 00:17:49 UTC,Not applicable,Copula,-1.26,-0.15,false,6.4%,18.8%,44.2%,true,true,1.01,10.0,44,4,116.9%,76.0%,-2.6%,-7.8%,-15.0%,18.0%,0.57
RUNEUSDT,SFPUSDT,801.5K,45.8K,2025-Feb-12 00:07:52 UTC,Dynamic - Kalman Filter,Spread,-0.89,0.83,true,11.4%,21.9%,19.5%,true,true,0.90,5.8,47,10,153.7%,76.0%,-5.9%,-7.7%,-10.5%,17.9%,0.63
IOTAUSDT,QNTUSDT,89.7K,49.5K,2025-Feb-12 00:03:21 UTC,Static AutoRegressive Moving Average,Spread,-1.27,-0.90,true,87.8%,13.0%,95.0%,false,true,1.08,6.8,36,6,106.8%,85.6%,-2.2%,-3.8%,-8.5%,17.8%,0.81
ADAUSDT,XVGUSDT,7.8M,71.7K,2025-Feb-11 00:16:07 UTC,Static AutoRegressive Moving Average,Spread,-0.71,0.33,false,57.3%,53.7%,92.0%,true,true,0.98,9.9,34,6,93.0%,125.2%,-5.4%,-29.1%,-33.3%,17.8%,0.17
FXSUSDT,STORJUSDT,103.4K,127.5K,2025-Feb-12 00:14:15 UTC,Dynamic - Kalman Filter,Spread,-1.39,-0.08,false,10.9%,38.0%,63.4%,true,false,0.92,9.4,36,8,116.9%,102.3%,-7.7%,-18.6%,-26.1%,17.7%,0.30
